Filename,Count < 0.50,Total Records,Processing Time (s)
sentence_1111.csv,4,2397,0.04762554168701172
sentence_1205.csv,338,3774,0.07407283782958984
sentence_236.csv,660,2244,0.03135323524475098
sentence_448.csv,6,6273,0.09116363525390625
sentence_1135.csv,166,2652,0.10053586959838867
sentence_1138.csv,0,1020,0.020046472549438477
sentence_440.csv,1344,6732,0.1707925796508789
sentence_641.csv,236,969,0.024899005889892578
sentence_1496.csv,114,5661,0.12086057662963867
sentence_1748.csv,208,8619,0.14335846900939941
sentence_447.csv,476,1581,0.023592472076416016
sentence_355.csv,146,1734,0.04353833198547363
sentence_1669.csv,132,1632,0.03476667404174805
sentence_814.csv,2,1275,0.021869659423828125
sentence_590.csv,688,3672,0.08144903182983398
sentence_1766.csv,102,4896,0.07947778701782227
sentence_1249.csv,154,6477,0.0992271900177002
sentence_365.csv,0,1938,0.029024600982666016
sentence_87.csv,44,3417,0.05916142463684082
sentence_1806.csv,922,3876,0.09883618354797363
sentence_100.csv,42,969,0.018881797790527344
sentence_474.csv,478,1326,0.022275924682617188
sentence_960.csv,2,1428,0.06958413124084473
sentence_25.csv,0,3417,0.05012106895446777
sentence_1700.csv,4,765,0.02753901481628418
sentence_315.csv,108,2754,0.05776071548461914
sentence_812.csv,0,3774,0.04763984680175781
sentence_1749.csv,0,2805,0.021637916564941406
sentence_629.csv,292,4641,0.1737992763519287
sentence_1343.csv,40,5049,0.10961747169494629
sentence_683.csv,2,4335,0.07482361793518066
sentence_273.csv,2,6171,0.12605500221252441
sentence_501.csv,130,3417,0.03949332237243652
sentence_1446.csv,8,4947,0.11853837966918945
sentence_7.csv,0,6069,0.23237848281860352
sentence_1817.csv,6,3111,0.12424898147583008
sentence_331.csv,2,7038,0.2252976894378662
sentence_1140.csv,42,918,0.01573014259338379
sentence_1312.csv,156,3009,0.03917694091796875
sentence_136.csv,166,1071,0.019254684448242188
sentence_1422.csv,66,2550,0.03225994110107422
sentence_1409.csv,0,2499,0.04826068878173828
sentence_832.csv,504,6018,0.1189265251159668
sentence_90.csv,382,2040,0.04567575454711914
sentence_1270.csv,4,4437,0.07840347290039062
sentence_1415.csv,1184,3264,0.03823280334472656
sentence_73.csv,0,4539,0.0652916431427002
sentence_1632.csv,0,1530,0.030861854553222656
sentence_66.csv,308,6375,0.10614395141601562
